section,name,value,extra
GLOBAL,approx_total_market_cap_usd,3263559211459.0,
GLOBAL,sample_size,50.0,
DOMINANCE,BTC,58.343167928268514,%
DOMINANCE,ETH,11.83330678996175,%
DOMINANCE,OTHERS,29.823525281769736,%
TOP_GAINERS,UNI,5.44314,"price=8.0, vol=1126271602"
TOP_GAINERS,XRP,1.47768,"price=2.27, vol=4293581603"
TOP_GAINERS,BCH,1.25883,"price=500.52, vol=227739823"
TOP_GAINERS,SOL,1.21834,"price=141.82, vol=5575287266"
TOP_GAINERS,WLFI,1.09323,"price=0.146368, vol=185130065"
TOP_LOSERS,NEAR,-7.12301,"price=2.31, vol=444872941"
TOP_LOSERS,LTC,-4.18567,"price=96.52, vol=771602769"
TOP_LOSERS,XMR,-3.69003,"price=412.56, vol=207461006"
TOP_LOSERS,TAO,-2.92358,"price=326.22, vol=181714172"
TOP_LOSERS,M,-2.76593,"price=2.15, vol=18058175"
TOP_VOLUME,USDT,-0.01281,"price=0.999323, vol=111980712834"
TOP_VOLUME,BTC,-0.18956,"price=95460.0, vol=78610070829"
TOP_VOLUME,ETH,0.8705,"price=3197.41, vol=34008158540"
TOP_VOLUME,USDC,-0.01136,"price=0.9997, vol=10374733606"
TOP_VOLUME,SOL,1.21834,"price=141.82, vol=5575287266"
